B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 410.67             6576.8              6595.927            6576.8              6580.877            6580.639            6582.066            6582.744           -19.12695 
 410.57             6375.49             6596.296            6576.8              6580.948            6580.71             6582.169            6582.869           -220.8062 
 410.47             6568.08             6596.961            6577.084            6581.305            6581.068            6582.56             6583.282           -28.88135 
 410.37             6750.35             6597.366            6577.097            6581.393            6581.156            6582.681            6583.428            152.9839 
 410.27             6785.62             6597.525            6576.852            6581.224            6580.988            6582.549            6583.32             188.0952 
 410.17             6530.99             6597.645            6576.557            6581.007            6580.773            6582.37             6583.167           -66.65479 
 410.07             6309.72             6598.138            6576.622            6581.152            6580.919            6582.554            6583.378           -288.418 
 409.97             6884.32             6598.958            6576.999            6581.612            6581.381            6583.054            6583.907            285.3623 
 409.87             6539.35             6598.979            6576.564            6581.263            6581.034            6582.747            6583.628           -59.62891 
 409.77             6865.83             6599.501            6576.617            6581.402            6581.176            6582.93             6583.843            266.3291 
 409.67             6832.51             6599.577            6576.208            6581.083            6580.859            6582.657            6583.601            232.9331 
 409.57             6488.37             6599.715            6575.846            6580.813            6580.592            6582.435            6583.412           -111.3452 
 409.47             6580.23             6600.356            6575.969            6581.032            6580.814            6582.702            6583.715           -20.12598 
 409.37             6803.75             6600.884            6575.963            6581.124            6580.909            6582.846            6583.896            202.8657 
 409.27             6360.54             6601.113            6575.641            6580.902            6580.691            6582.677            6583.766           -240.5732 
 409.17             6524.49             6601.988            6575.945            6581.31             6581.103            6583.141            6584.27            -77.49756 
 409.07             6623.97             6602.651            6576.018            6581.49             6581.287            6583.378            6584.55             21.31934 
 408.97             6518.86             6603.193            6575.95             6581.532            6581.334            6583.481            6584.697           -84.3335 
 408.87             6876.16             6603.905            6576.031            6581.726            6581.533            6583.738            6585                272.2549 
 408.77             6622.45             6604.135            6575.606            6581.418            6581.231            6583.497            6584.808            18.31494 
 408.67             6515.08             6604.746            6575.54             6581.472            6581.292            6583.62             6584.982           -89.66553 
 408.57             6442.23             6605.533            6575.625            6581.682            6581.508            6583.901            6585.318           -163.3032 
 408.47             6332.22             6606.45             6575.814            6581.999            6581.833            6584.294            6585.768           -274.2295 
 408.37             6673.9              6607.548            6576.159            6582.475            6582.317            6584.849            6586.383            66.35156 
 408.27             6830.51             6608.193            6576.021            6582.473            6582.324            6584.93             6586.527            222.3164 
 408.17             6655.64             6608.647            6575.661            6582.254            6582.115            6584.798            6586.462            46.99316 
 408.07             6492.78             6609.378            6575.548            6582.287            6582.158            6584.921            6586.655           -116.5981 
 407.97             6538.56             6610.372            6575.665            6582.554            6582.436            6585.284            6587.092           -71.81201 
 407.87             6653.59             6611.337            6575.717            6582.763            6582.656            6585.591            6587.479            42.25293 
 407.77             6688.09             6612.175            6575.607            6582.813            6582.72             6585.747            6587.717            75.91455 
 407.67             6651.95             6613.004            6575.448            6582.821            6582.742            6585.864            6587.922            38.94629 
 407.57             6783.78             6613.924            6575.34             6582.885            6582.821            6586.044            6588.194            169.8555 
 407.47             6742.44             6614.7              6575.045            6582.768            6582.72             6586.049            6588.298            127.7397 
 407.37             6616.27             6615.581            6574.809            6582.716            6582.687            6586.125            6588.479            0.6894531 
 407.27             6870.99             6616.687            6574.75             6582.849            6582.838            6586.393            6588.856            254.3032 
 407.17             6728.88             6617.483            6574.331            6582.628            6582.638            6586.314            6588.896            111.3965 
 407.07             6742.32             6618.536            6574.112            6582.616            6582.648            6586.451            6589.158            123.7842 
 406.97             6803.41             6619.625            6573.875            6582.591            6582.647            6586.585            6589.425            183.7852 
 406.87             6764.33             6620.688            6573.55             6582.488            6582.57             6586.649            6589.63             143.6416 
 406.77             6650.23             6621.872            6573.28             6582.449            6582.559            6586.786            6589.918            28.35791 
 406.67             6698.02             6623.285            6573.171            6582.579            6582.72             6587.103            6590.397            74.73535 
 406.57             6990.99             6624.703            6572.995            6582.651            6582.824            6587.373            6590.839            366.2871 
 406.47             6877.28             6625.785            6572.404            6582.319            6582.527            6587.25             6590.9              251.4951 
 406.37             6784.51             6627.109            6571.973            6582.157            6582.403            6587.31             6591.158            157.4004 
 406.27             6786.25             6628.654            6571.672            6582.136            6582.424            6587.525            6591.584            157.5957 
 406.17             6841.2              6630.291            6571.369            6582.125            6582.458            6587.764            6592.05             210.9097 
 406.07             6946.82             6631.95             6570.987            6582.047            6582.428            6587.953            6592.482            314.8696 
 405.97             6464.5              6633.569            6570.456            6581.833            6582.267            6588.022            6592.814           -169.0693 
 405.87             6945.96             6635.987            6570.605            6582.314            6582.804            6588.805            6593.879            309.9731 
 405.77             6728.31             6637.85             6570.075            6582.129            6582.681            6588.942            6594.321            90.46045 
 405.67             6891.31             6640.153            6569.851            6582.267            6582.884            6589.423            6595.131            251.1567 
 405.57             6739.95             6642.372            6569.396            6582.189            6582.88             6589.714            6595.777            97.57813 
 405.47             6702.9              6644.962            6569.155            6582.343            6583.112            6590.261            6596.709            57.93799 
 405.37             7250.95             6647.774            6568.966            6582.568            6583.422            6590.908            6597.773            603.1758 
 405.27             6588.04             6649.994            6568.001            6582.037            6582.984            6590.829            6598.148           -61.95361 
 405.17             6527.01             6653.348            6567.973            6582.463            6583.511            6591.741            6599.553           -126.3379 
 405.07             6744.63             6657.006            6568.031            6582.998            6584.156            6592.798            6601.148            87.62402 
 404.97             7099.12             6660.591            6567.781            6583.249            6584.526            6593.611            6602.549            438.5288 
 404.87             6956.56             6663.931            6567.03             6583.023            6584.432            6593.993            6603.572            292.6294 
 404.77             6691.44             6667.75             6566.479            6583.025            6584.577            6594.651            6604.935            23.68945 
 404.67             6734.35             6672.249            6566.302            6583.43             6585.139            6595.766            6606.821            62.10107 
 404.57             6637.57             6677.025            6566.065            6583.806            6585.687            6596.91             6608.817           -39.45508 
 404.47             6732.39             6682.305            6565.964            6584.352            6586.42             6598.29             6611.135            50.08496 
 404.37             7011.06             6687.857            6565.729            6584.799            6587.073            6599.645            6613.526            323.2026 
 404.27             6799.08             6693.464            6565.099            6584.891            6587.392            6600.724            6615.754            105.6162 
 404.17             6769.54             6699.863            6564.768            6585.322            6588.072            6602.233            6618.539            69.67676 
 404.07             6747.61             6706.859            6564.478            6585.839            6588.865            6603.93             6621.659            40.75098 
 403.97             6714.12             6714.5              6564.219            6586.436            6589.766            6605.818            6625.138           -0.3798828 
 403.87             6766.18             6722.877            6564.007            6587.132            6590.797            6607.933            6629.037            43.30322 
 403.77             6983.9              6731.955            6563.721            6587.81             6591.848            6610.172            6633.289            251.9448 
 403.67             6501.23             6741.598            6563.127            6588.241            6592.691            6612.325            6637.722           -240.3682 
 403.57             6654.88             6752.924            6563.215            6589.42             6594.331            6615.409            6643.409           -98.04443 
 403.47             6663.67             6765.175            6563.085            6590.455            6595.876            6618.556            6649.544           -101.5054 
 403.37             6758.64             6778.737            6562.943            6591.556            6597.548            6622.005            6656.457           -20.09668 
 403.27             6777.85             6793.702            6562.666            6592.607            6599.239            6625.676            6664.178           -15.85205 
 403.17             6623.21             6810.446            6562.362            6593.726            6601.074            6629.724            6673.008           -187.2358 
 403.07             7000.45             6829.554            6562.276            6595.166            6603.319            6634.452            6683.445            170.8965 
 402.97             6937.07             6850.681            6561.656            6596.185            6605.247            6639.174            6695.044            86.38867 
 402.87             6580.95             6874.951            6561.125            6597.418            6607.505            6644.592            6708.813           -294.001 
 402.77             6810.92             6903.386            6561.097            6599.291            6610.542            6651.213            6725.632           -92.46582 
 402.67             6897.22             6935.872            6560.744            6600.99             6613.563            6658.32             6745.231           -38.65186 
 402.57             6885.08             6973.482            6560.268            6602.735            6616.817            6666.256            6768.478           -88.40186 
 402.47             7162.17             7017.326            6559.809            6604.684            6620.493            6675.324            6796.251            144.8438 
 402.37             7542.99             7068.1              6558.957            6606.449            6624.242            6685.318            6828.962            474.8901 
 402.27             7284.76             7126.874            6557.565            6607.907            6627.989            6696.346            6867.329            157.8857 
 402.17             7103.86             7195.84             6556.537            6609.987            6632.72             6709.633            6913.111           -91.97998 
 402.07             7385.59             7276.309            6555.763            6612.617            6638.434            6725.504            6967.043            109.2813 
 401.97             7478.24             7369.011            6554.59             6615.177            6644.602            6743.875            7029.126            109.2295 
 401.87             7378.33             7475.579            6553.284            6617.979            6651.642            6765.807            7100.002           -97.24902 
 401.77             7806.12             7597.511            6552.117            6621.346            6660.017            6792.687            7179.814            208.6089 
 401.67             7229.87             7734.914            6550.344            6624.588            6669.212            6825.333            7266.812           -505.0435 
 401.57             7911.76             7889.575            6549.383            6629.201            6680.951            6867.397            7360.174            22.18506 
 401.47             8135.53             8058.979            6547.456            6633.487            6693.836            6920.11             7453.914            76.55078 
 401.37             8369.6              8241.822            6545.21             6638.195            6709.021            6988.086            7542.151            127.7773 
 401.27             8597.5              8435.119            6542.631            6643.435            6727.179            7076.264            7616.134            162.3809 
 401.17             8418.92             8636.066            6539.725            6649.363            6749.29             7190.408            7666.181           -217.1465 
 401.07             8790.17             8845.15             6537.067            6656.755            6777.364            7337.402            7684.831           -54.98047 
 400.97             9150.13             9066.213            6533.882            6665.083            6812.726            7522.352            7667.699            83.91699 
 400.87             9480.09             9309.247            6530.182            6674.69             6858.482            7749.451            7617.169            170.8428 
 400.77             9532.89             9586.336            6526.011            6686.059            6919.101            8018.58             7540.628           -53.44629 
 400.67             9830.65             9904.565            6521.759            6700.165            7000.961            8320.639            7448.077           -73.91504 
 400.57             10270.6             10255.06            6517.079            6717.458            7111.441            8629.198            7348.202            15.53711 
 400.47             10764.7             10604.7             6511.771            6738.775            7259.281            8894.098            7247.862            159.998 
 400.37             10937.6             10901.97            6505.757            6765.383            7453.686            9048.535            7151.634            35.63379 
 400.27             11065.5             11107.51            6499.49             6799.423            7702.749            9041.193            7062.618           -42.01172 
 400.17             11355.6             11227.07            6493.034            6842.984            8008.5              8872.584            6982.106            128.5254 
 400.07             11286.1             11303.88            6486.158            6898.23             8359.436            8594.587            6910.103           -17.7832 
 399.97             11375.4             11368.61            6479.37             6968.244            8717.238            8274.393            6846.846            6.789063 
 399.87             11150.8             11394.77            6472.447            7055.44             9003.822            7961.358            6791.495           -243.9746 
 399.77             11416.9             11312.01            6465.831            7162.659            9121.204            7681.943            6743.698            104.8887 
 399.67             10868.6             11077.18            6458.83             7290.841            9016.174            7444.751            6701.907           -208.585 
 399.57             10790.5             10732.79            6452.594            7441.357            8731.959            7250.881            6666.379            57.70508 
 399.47             10694               10367.42            6446.459            7610.699            8364.938            7095.529            6635.632            326.5801 
 399.37             10169               10048.84            6440.453            7790.969            7997.506            6972.801            6608.929            120.1553 
 399.27             9706.28             9798.27             6435.181            7967.16             7673.389            6877.062            6586.201           -91.98926 
 399.17             9835.27             9598.934            6430.555            8114.837            7406.521            6802.457            6566.783            236.3359 
 399.07             9371.37             9414.639            6425.74             8204.403            7194.946            6743.167            6549.344           -43.26855 
 398.97             9048.08             9212.395            6421.575            8214.334            7032.365            6696.098            6534.325           -164.3145 
 398.87             8815.59             8975.812            6417.861            8140.784            6909.364            6658.044            6521.203           -160.2217 
 398.77             8459.31             8710.481            6414.471            8000.882            6816.746            6626.676            6509.591           -251.1719 
 398.67             8462.51             8435.232            6411.579            7823.059            6746.844            6600.606            6499.461            27.27734 
 398.57             8227.37             8168.494            6408.679            7633.304            6692.886            6578.2              6490.14             58.87598 
 398.47             7994.01             7923.682            6406.107            7450.522            6650.628            6559.015            6481.837            70.32813 
 398.37             7915.99             7707.056            6403.861            7284.887            6616.828            6542.476            6474.45             208.9341 
 398.27             7581.2              7519.889            6401.723            7140.385            6589.059            6527.939            6467.675            61.31104 
 398.17             7674.55             7361.338            6400.055            7018.049            6566.197            6515.446            6461.812            313.2114 
 398.07             7139.28             7228.086            6398.253            6915.913            6546.604            6504.132            6456.196           -88.80615 
 397.97             7434.55             7117.877            6397.205            6832.679            6530.456            6494.685            6451.673            316.6724 
 397.87             7274.61             7026.211            6395.738            6764.576            6516.054            6485.766            6447.03             248.3989 
 397.77             6948.63             6950.535            6394.495            6709.616            6503.646            6477.883            6442.876           -1.905273 
 397.67             7007.03             6888.207            6393.712            6665.597            6493.164            6471.161            6439.421            118.8232 
 397.57             6705.07             6836.128            6392.845            6629.795            6483.815            6464.959            6436.093           -131.0581 
 397.47             6748.88             6792.729            6392.403            6600.929            6475.919            6459.709            6433.38            -43.84912 
 397.37             6763.14             6755.826            6391.899            6577.057            6468.831            6454.857            6430.778            7.313965 
 397.27             6785.64             6724.124            6391.374            6557.085            6462.462            6450.389            6428.309            61.5166 
 397.17             6314.49             6696.583            6390.816            6540.142            6456.697            6446.245            6425.949           -382.0928 
 397.07             6418.42             6673.097            6390.924            6526.266            6452.143            6443.081            6424.381           -254.6772 
 396.97             6356.45             6652.256            6390.885            6514.167            6447.915            6440.048            6422.782           -295.8057 
 396.87             6733.09             6633.831            6390.934            6503.718            6444.187            6437.352            6421.375            99.25928 
 396.77             6158.52             6616.839            6390.45             6494.024            6440.287            6434.345            6419.533           -458.3188 
 396.67             6173.31             6602.344            6390.778            6486.221            6437.516            6432.35             6418.591           -429.0337 
 396.57             6531.97             6589.273            6391.086            6479.307            6435.002            6430.513            6417.709           -57.30273 
 396.47             6374.35             6576.955            6390.887            6472.664            6432.228            6428.329            6416.394           -202.6045 
 396.37             6556.91             6565.963            6390.91             6466.915            6429.895            6426.513            6415.37            -9.052734 
 396.27             6340.57             6555.682            6390.675            6461.489            6427.499            6424.571            6414.15            -215.1123 
 396.17             6385.12             6546.568            6390.746            6456.876            6425.582            6423.054            6413.294           -161.4478 
 396.07             6589.47             6538.149            6390.754            6452.643            6423.758            6421.582            6412.428            51.32129 
 395.97             6423.93             6530.12             6390.473            6448.511            6421.786            6419.92             6411.323           -106.1899 
 395.87             6292.11             6522.932            6390.426            6444.957            6420.173            6418.582            6410.498           -230.8218 
 395.77             6269.81             6516.473            6390.565            6441.893            6418.86             6417.514            6409.9             -246.6626 
 395.67             6171.49             6510.537            6390.735            6439.133            6417.683            6416.552            6409.375           -339.0469 
 395.57             6264.26             6505.181            6391.045            6436.753            6416.739            6415.8              6409.025           -240.9209 
 395.47             6423.37             6500.092            6391.225            6434.458            6415.749            6414.98             6408.579           -76.72217 
 395.37             6167.93             6495.143            6391.179            6432.133            6414.612            6413.996            6407.939           -327.2124 
 395.27             6153.88             6490.882            6391.495            6430.343            6413.907            6413.426            6407.691           -337.0024 
 395.17             6343.86             6486.945            6391.831            6428.73             6413.288            6412.928            6407.492           -143.085 
 395.07             6257.2              6483.011            6391.899            6426.991            6412.46             6412.208            6407.049           -225.811 
 394.97             6291.25             6479.452            6392.089            6425.503            6411.81             6411.653            6406.754           -188.2017 
 394.87             6393.59             6476.074            6392.232            6424.083            6411.162            6411.091            6406.434           -82.48438 
 394.77             6412.75             6472.764            6392.23             6422.626            6410.416            6410.421            6405.991           -60.01367 
 394.67             6380.75             6469.622            6392.201            6421.239            6409.686            6409.76             6405.541           -88.87207 
 394.57             6382.64             6466.704            6392.217            6419.985            6409.04             6409.176            6405.155           -84.06348 
 394.47             6211.49             6463.949            6392.231            6418.81             6408.429            6408.619            6404.784           -252.4585 
 394.37             6107.41             6461.589            6392.486            6417.95             6408.094            6408.333            6404.672           -354.1792 
 394.27             6496.1              6459.52             6392.89             6417.307            6407.938            6408.22             6404.723            36.58057 
 394.17             6462.41             6457.034            6392.744            6416.178            6407.263            6407.583            6404.241            5.376465 
 394.07             6084.33             6454.716            6392.645            6415.153            6406.662            6407.017            6403.819           -370.3862 
 393.97             6276.59             6453.048            6393.081            6414.717            6406.621            6407.007            6403.946           -176.4585 
 393.87             6428.61             6451.215            6393.246            6414.059            6406.333            6406.746            6403.814           -22.60547 
 393.77             6239.89             6449.267            6393.196            6413.232            6405.853            6406.29             6403.479           -209.3765 
 393.67             6328.4              6447.678            6393.413            6412.715            6405.66             6406.118            6403.423           -119.2778 
 393.57             6396.8              6446.051            6393.504            6412.112            6405.362            6405.839            6403.252           -49.25146 
 393.47             6402.44             6444.408            6393.5              6411.449            6404.985            6405.479            6402.994           -41.96777 
 393.37             6455.98             6442.834            6393.487            6410.813            6404.618            6405.126            6402.739            13.146 
 393.27             6193.06             6441.255            6393.399            6410.132            6404.191            6404.711            6402.417           -248.1953 
 393.17             6011.86             6440.116            6393.682            6409.853            6404.151            6404.682            6402.476           -428.2559 
 393.07             6524.27             6439.295            6394.222            6409.858            6404.382            6404.922            6402.799            84.97461 
 392.97             6524.1              6437.811            6394.038            6409.166            6403.903            6404.451            6402.406            86.28906 
 392.87             6409.79             6436.382            6393.854            6408.498            6403.436            6403.99             6402.021           -26.59229 
 392.77             6430.48             6435.168            6393.832            6408.014            6403.143            6403.703            6401.804           -4.687988 
 392.67             6393.78             6433.974            6393.78             6407.522            6402.831            6403.396            6401.565           -40.19434 
